OS name,Processor Architecture,version,release time (YYYY-MM-DD),img name,MD5,SHA256,note
MLNX-OS,X86_64,3.11.2206,2024/3/13,image-X86_64-3.11.2206,0852bb285ed50b11981fca5c020702f1,85b586fa12462ce2d9139f55e509f087c9324082eeb61757958556c1034dd9f3,
MLNX-OS,X86_64,3.11.4002,2024/5/5,image-X86_64-3.11.4002,eeeb3ec4261ff6990545a4d77e8f4f73,56f84e96fd847ea275da8c8c53a5a2702c7d71d36553b4713119014bcd5100df,
MLNX-OS,X86_64,3.11.2214,2024/5/6,image-X86_64-3.11.2214,1c48fca9c04f4681afc7f10ec25f10bf,7f617cc131da65a3136e67c99898891cdca6383a958aa3ff8aa0e59f82ebbc46,
MLNX-OS,X86_64,3.11.2224,2024/5/30,image-X86_64-3.11.2224,311319aa683f8e94950834738e70e58c,02ae083a2050f77f5947cfd3b4e174f3a635a1e6092d0b357bb5d45191122615,
MLNX-OS,X86_64,3.11.2300,2024/7/2,image-X86_64-3.11.2300,1d45a8edfa3f570f1f0aca4921d700cd,3e2d8ab45aef2e2c94267534a512b84c99c0d9690788404f80e12f3516c4307f,
MLNX-OS,X86_64,3.10.4500,2024/7/8,image-X86_64-3.10.4500,5c17e88af6f3879ad4c17c4f208f9830,41ab4e97cf022f5b67199aac07bfca1a8e8530cdc06d2133635e0bcb0ad52614,
MLNX-OS,X86_64,3.12.1002,2024/8/5,image-X86_64-3.12.1002,0c8906c7951ef1c07808147a7ae8b71b,31d4c3b1e8a51eb09ffa2946e84a654a99f260a6ff197613f149406ce00caa02,
Nvidia-Onyx,X86_64,3.9.1604,2020/10/6,onyx-X86_64-3.9.1604.img,c65a94ab84a8811b7916b9d4a7320995,6d473d989765f38b0daa95f79ae7d0f51e8f0550e3bc5544af30070fccb2ffdb,
Nvidia-Onyx,X86_64,3.9.1908,2020/11/1,onyx-X86_64-3.9.1908.img,dbe17948e01dc2b94f871431a20a6e7e,9031aae4b88d65296b1a65d8d465e37f839ea4d8ee4c7f69932033fe869df1da,
Nvidia-Onyx,X86_64,3.9.2006,2020/12/6,onyx-X86_64-3.9.2006.img,4b5e2143b236b18006f624e294be1704,145ec87649540071db5412cafc41a126a4f0f4cb64c5c2d12a5d52e55dfce600,
Nvidia-Onyx,X86_64,3.9.2110,2021/1/18,onyx-X86_64-3.9.2110.img,adc5ffc831da72f558bfd11a1a091e4a,a49d950abb9db6fa6e141a08c2b08fd50cacd542430a22fd1afc0b04384c90b8,
Nvidia-Onyx,X86_64,3.9.2302,2021/3/1,onyx-X86_64-3.9.2302.img,b587ec718a9fdcfd88fb2c89b125c2d2,a6080f111b9e842607dd741c9c910f3398b4d083928b4ec13f3adecc0f578703,
Nvidia-Onyx,X86_64,3.9.2400,2021/3/31,onyx-X86_64-3.9.2400.img,92f60990171451f12801733c8dffffa5,746d5505bf006f8dd89c29e10a52dd37f641c24186fcd3597576c197f508fa29,
Nvidia-Onyx,X86_64,3.9.2504,2021/5/13,onyx-X86_64-3.9.2504.img,20da53461ebe187afca0cc6828bc217e,961ac6d810b8f76d4f981c3f1ab532afad3e1e1c472e9ad4d9ec5fa13ccff485,
Nvidia-Onyx,X86_64,3.9.3210,2021/11/28,onyx-X86_64-3.9.3210.img,f3644eb9afa9fb9d9d835fdd9234fb70,e697591dc02c7a66936513b30872ff8673d3a1200464fc2c02496aecf9841dab,
Nvidia-Onyx,X86_64,3.9.3220,2022/2/9,onyx-X86_64-3.9.3220.img,ac84db05e7b19c6e70ec7c4d07d91e9e,bbce8727fb148a2ffc9131845dff4343bb03c33694c021e926fd95309e03293f,
Nvidia-Onyx,X86_64,3.10.2002,2022/4/20,onyx-X86_64-3.10.2002,3d8c0fcafeafbcad213f3d9c0a85e721,cd2fb7a11f572735e172cdff72307ab63adb499f8c532a449f5c214851a1e68b,
Nvidia-Onyx,X86_64,3.10.2202,2022/5/26,onyx-X86_64-3.10.2202,9f28fc9f9f8d9ca5707359f0af888a8a,ab4580c5272ce0a93fbca2e3bc212bd27942cd37cfd6b5868871ae1ef1231875,
Nvidia-Onyx,X86_64,3.10.3004,2022/8/2,onyx-X86_64-3.10.3004,efcc0e6ed3f0b6d03c7961e5dd4417f3,2b3e060bf5f89e3a93e534791e2423e1f71327ed2804349c09f5d6b9f270a6fd,
Nvidia-Onyx,X86_64,3.10.3100,2022/9/4,onyx-X86_64-3.10.3100.img,fc995293bf59365890e13e7eb17cbb70,58ebac0f8219aa7a207302a7d55fa6b74e7836de127cc938ef53d8a42270b01d,
Nvidia-Onyx,X86_64,3.10.4006,2022/11/10,onyx-X86_64-3.10.4006.img,,a455c889ccec9c49227e24fba043d462b8210df71e904f4e207920a842053c9f,
Nvidia-Onyx,X86_64,3.10.4100,2022/12/20,onyx-X86_64-3.10.4100.img,ac9b6c32e3999335ad5a65b01ebe54ef,4f8e06b73b2fa48e926cd2e552fff408e204cb9e254df737f996f7099905b444,
Nvidia-Onyx,X86_64,3.10.4206,2023/3/12,onyx-X86_64-3.10.4206,a01b6ca219b02bd4d53d17d3220a4764,fc36e67e522ae7c16996cf396156e14fd9c5fc7974cd849256aa104e0d8eb835,
Nvidia-Onyx,X86_64,3.10.4302,2023/7/12,onyx-X86_64-3.10.4302,0104f72cbcf15faefd1c3708fceac8f5,797b664e3f1c57d568aa905bfad4baa6b12920252e98185d2c0524984e4bec02,
Nvidia-Onyx,X86_64,3.10.4404,2024/1/11,onyx-X86_64-3.10.4404,25fd58098a979b7d12a9fdfcde7ee47d,f4afc7f724652cabfba5dd3b15885b57f1c7b0b5db85734e99f28935b7875f4a,
Nvidia-Onyx,X86_64,3.10.4408,2024/2/18,onyx-X86_64-3.10.4408,d03d13ada3e6acc81bc0a0e3991f6075,dac531af24165a3eb2129d40cf224cda298aaf1c46c64befc2a8e161f7191024,
Nvidia-Onyx,X86_64,3.10.4504,2024/7/31,onyx-X86_64-3.10.4504,a0f8e69c8c6589d1d60b5f92e885bccf,e98dc6ba3d1aaf214e10a775d78faeae1f9bfee85266cdcc9e9b44d56f5d34c2,
SX1012,PowerPC,3.6.8012,2022/5/12,onyx-PPC_M460EX-3.6.8012,e2114b923351bf4d499c7200392afecb,,
SX6036,PowerPC,3.6.8012,2022/5/12,image-PPC_M460EX-3.6.8012,e2114b923351bf4d499c7200392afecb,,
SX1410,X86_64,3.6.8012,2022/5/12,onyx-X86_64-3.6.8012,2165c3a9316ae1f3c8986ff0d8f289d3,,
SX6720,X86_64,3.6.8012,2022/5/12,image-X86_64-3.6.8012,2165c3a9316ae1f3c8986ff0d8f289d3,,
